class_name,auroc_sp,auroc_px,pro
audiojack,0.793,0.968,0.795
bottle_cap,0.886,0.994,0.979
button_battery,0.763,0.976,0.882
end_cap,0.755,0.960,0.879
eraser,0.884,0.995,0.970
fire_hood,0.807,0.986,0.907
mint,0.642,0.939,0.698
mounts,0.890,0.994,0.961
pcb,0.867,0.989,0.926
phone_battery,0.885,0.779,0.955
plastic_nut,0.804,0.991,0.945
plastic_plug,0.884,0.991,0.957
porcelain_doll,0.875,0.994,0.971
regulator,0.578,0.965,0.858
rolled_strip_base,0.984,0.997,0.994
sim_card_set,0.842,0.984,0.897
switch,0.886,0.959,0.908
tape,0.961,0.997,0.986
terminalblock,0.927,0.996,0.986
toothbrush,0.800,0.971,0.888
toy,0.798,0.949,0.853
toy_brick,0.720,0.970,0.860
transistor1,0.921,0.992,0.964
usb,0.896,0.985,0.932
usb_adaptor,0.742,0.954,0.763
u_block,0.879,0.995,0.968
vcpill,0.836,0.979,0.866
wooden_beads,0.834,0.979,0.851
woodstick,0.788,0.979,0.873
zipper,0.974,0.991,0.970
mean,0.839,0.975,0.912
